icao24;callsign;estDepartureAirport;estArrivalAirport;firstSeen_dt;lastSeen_dt;fecha_salida;hora_salida;dia_semana;mes;anio;duracion_minutos
4844c2;LIFELN2 ;EHRD;EHRD;2024-01-29 12:21:44;2024-01-29 12:43:51;2024-01-29;12;Monday;1;2024;22,116666666666667
4cad12;RYR74PU ;EHEH;EGSS;2024-01-29 12:11:01;2024-01-29 12:53:27;2024-01-29;12;Monday;1;2024;42,43333333333333
888061;HVN1278 ;;VV01;2024-01-29 12:35:30;2024-01-29 12:51:17;2024-01-29;12;Monday;1;2024;15,783333333333331
a5050e;SWA310  ;;KDAL;2024-01-29 12:09:30;2024-01-29 12:44:20;2024-01-29;12;Monday;1;2024;34,833333333333336
3df2d5;GAM924A ;;EDXI;2024-01-29 12:04:26;2024-01-29 12:55:39;2024-01-29;12;Monday;1;2024;51,21666666666667
4caa54;EAI53EE ;EGPH;EIDW;2024-01-29 12:07:01;2024-01-29 12:59:48;2024-01-29;12;Monday;1;2024;52,78333333333333
a2b560;LN274AH ;KCLT;KLUK;2024-01-29 12:00:09;2024-01-29 12:58:29;2024-01-29;12;Monday;1;2024;58,333333333333336
e493a6;PPZGQ   ;;SDAI;2024-01-29 12:32:50;2024-01-29 12:56:10;2024-01-29;12;Monday;1;2024;23,33333333333333
46ba85;SEH430  ;LGAV;LGSK;2024-01-29 12:09:31;2024-01-29 12:31:46;2024-01-29;12;Monday;1;2024;22,25
3ddc4b;CHX53   ;ETAR;EDFM;2024-01-29 12:38:21;2024-01-29 12:54:52;2024-01-29;12;Monday;1;2024;16,516666666666666
3ffa6f;DMMLS   ;ETWM;EDWF;2024-01-29 12:06:36;2024-01-29 12:32:22;2024-01-29;12;Monday;1;2024;25,766666666666666
4baac3;THY9BZ  ;;LTFM;2024-01-29 12:05:41;2024-01-29 12:44:24;2024-01-29;12;Monday;1;2024;38,71666666666667
881054;NOK328  ;VTBD;;2024-01-29 12:23:25;2024-01-29 12:45:27;2024-01-29;12;Monday;1;2024;22,03333333333333
a001ce;N1UK    ;KUKT;KUKT;2024-01-29 12:37:43;2024-01-29 12:57:53;2024-01-29;12;Monday;1;2024;20,166666666666668
a2a54a;THRT442 ;2XS4;9TX7;2024-01-29 12:09:30;2024-01-29 12:37:26;2024-01-29;12;Monday;1;2024;27,933333333333334
a3b0b4;N337KC  ;KAAO;MO64;2024-01-29 12:06:45;2024-01-29 12:47:47;2024-01-29;12;Monday;1;2024;41,03333333333333
e49947;CO33    ;SBYS;SDPY;2024-01-29 12:03:07;2024-01-29 12:59:54;2024-01-29;12;Monday;1;2024;56,78333333333333
3d1255;DEFER   ;EDAZ;EDBO;2024-01-29 12:14:44;2024-01-29 12:39:50;2024-01-29;12;Monday;1;2024;25,1
3d24fe;DEMGK   ;EDTD;EDTL;2024-01-29 12:22:01;2024-01-29 12:53:05;2024-01-29;12;Monday;1;2024;31,066666666666663
3e0a3b;BPO219  ;EDNX;EDNX;2024-01-29 12:08:53;2024-01-29 12:32:01;2024-01-29;12;Monday;1;2024;23,133333333333333
7c19ca;FD489   ;;YBBN;2024-01-29 12:24:32;2024-01-29 12:50:44;2024-01-29;12;Monday;1;2024;26,2
a7a90d;N593FD  ;;KPDK;2024-01-29 12:07:28;2024-01-29 12:43:14;2024-01-29;12;Monday;1;2024;35,766666666666666
